,1,2,3,4,5,6,7,8,9,10,11,12
PM10,37.07142517548552,33.65812538683275,56.000771263605216,61.117847141144786,32.42681414685419,22.636237181417982,18.965591213360792,16.645131269102375,16.336632685190306,24.008261641503083,25.32914457123024,30.73387889378653
PM2.5,21.395413645789848,22.10382677312698,23.330759340117762,19.360065565568924,16.56374377802145,13.553467493652228,12.11241859404659,9.612002048970727,8.931751234348688,13.164677979356155,15.266433750356747,19.375704682582004
O3,0.023737006715956983,0.028143216994204707,0.03886956249953504,0.043749656338334136,0.04246134611139944,0.04188277482750058,0.026542305017835173,0.03052441965216773,0.030489254531516016,0.03435042940073444,0.027891720702041503,0.025360586535479096
CO,0.3581692882058148,0.3736749504097043,0.34937531752805434,0.30254375315950893,0.30468419335057567,0.32084881783077973,0.2860588782969741,0.27495168522192437,0.2972172836125227,0.32739991858213946,0.32882171203836413,0.377948857460488
sulfur_dioxide,0.0028375972734638226,0.0030502134853280963,0.00283887292810269,0.0026525586502402997,0.0027180290624198395,0.0026836406146196995,0.0024228072025145255,0.002436261808300613,0.002381360648621343,0.002529039819458032,0.002669229320116177,0.002827939055164374
nitrogen_dioxide,0.017576257286453296,0.018623147054715312,0.016748438281657303,0.01181135322057557,0.01286555370913751,0.012452251255205105,0.011799722227004553,0.009200192384482338,0.010522112086096295,0.014593384478348634,0.016211099736769156,0.017873537061491217
MI,188.0,150.0,193.0,198.0,196.0,207.0,195.0,209.0,204.0,188.0,194.0,215.0
IschemicStroke,406.0,382.0,454.0,444.0,453.0,468.0,455.0,432.0,432.0,484.0,444.0,462.0
HemorrhagicStroke,146.0,138.0,104.0,132.0,150.0,116.0,121.0,141.0,114.0,170.0,145.0,161.0
CA,142.0,120.0,141.0,131.0,119.0,164.0,120.0,104.0,98.0,108.0,128.0,141.0
