,Busan,Chungbuk,Chungnam,Daegu,Daejeon,Gangwon,Gwangju,Gyeongbuk,Gyeonggi,Gyeongnam,Incheon,Jeju,Jeonbuk,Jeonnam,Sejong,Seoul,Ulsan
PM10,16.645131269102375,21.690190835007478,24.636448662502932,17.61700838881613,20.765808862593282,17.430718330758054,18.038391139598136,22.90665108240528,22.791177963775333,19.542096520896255,22.869030978228455,19.976590016875722,25.397322527430603,20.50769725860786,21.4009478826907,21.177549323925632,21.53625613039661
PM2.5,9.612002048970727,12.911618827785244,13.843352956320029,10.037274709387614,12.993449015528526,7.689208386247917,11.329704648963185,12.70462758171794,12.668650671541865,12.262159900598192,14.294142913686155,10.629484756200252,14.406482811950902,11.260154848546929,11.80669291593555,13.3822747270677,13.064323111598341
O3,0.03052441965216773,0.02922487230445654,0.03625146947313179,0.029326741361300795,0.031903737356442974,0.027816282476847812,0.03220319733885732,0.029218310419210494,0.03338386844526468,0.029192052920972517,0.0341233497893577,0.03330045850970329,0.03341098236210966,0.03165740233962499,0.03212402966623335,0.03492935151041411,0.028376666043988603
CO,0.27495168522192437,0.3418841852563222,0.39619327403457777,0.2816871865570147,0.33382345190128365,0.30893935652610655,0.34854373284531165,0.31107908658588757,0.3493926285354233,0.34318575395162737,0.38923956685255956,0.28878671450444554,0.30152473355429465,0.34884674712170327,0.430202281480402,0.34519878056041825,0.4392369743895102
sulfur_dioxide,0.002436261808300613,0.0017475540448231453,0.0029554415367108585,0.0017955995193260838,0.0025273095567030545,0.0017772116228927002,0.002530435864348887,0.002644168756730997,0.002139113919878325,0.00259576798371228,0.003003808587238651,0.0016249805375888032,0.0022565758677891576,0.0027381512615610552,0.002798580898647775,0.0026542995426904257,0.003764863341512352
nitrogen_dioxide,0.009200192384482338,0.007215865745617061,0.007047915392890006,0.007605924901665003,0.009705640639199768,0.00494705174118562,0.007845119974754119,0.007065134794339053,0.009108420305238214,0.009283880764502102,0.011440641363663209,0.005532829708295157,0.005691872637065862,0.005098320086117197,0.008315075818291011,0.012257110123878966,0.011653452306426984
MI,209.0,98.0,169.0,179.0,74.0,126.0,99.0,191.0,752.0,178.0,180.0,44.0,118.0,156.0,13.0,518.0,55.0
IschemicStroke,432.0,316.0,418.0,350.0,231.0,343.0,150.0,493.0,2279.0,460.0,578.0,135.0,528.0,335.0,39.0,1561.0,156.0
HemorrhagicStroke,141.0,76.0,125.0,91.0,56.0,79.0,65.0,138.0,647.0,126.0,163.0,39.0,110.0,104.0,14.0,458.0,24.0
CA,104.0,75.0,137.0,103.0,56.0,74.0,41.0,110.0,557.0,104.0,135.0,29.0,99.0,71.0,15.0,406.0,43.0
